# AROGUE_TRANSLATIONS_V2
# Korean source<TAB>English; escaped newlines and printf tokens are preserved.
언어	Language
한국어	Korean
설정	Settings
닫기	Close
화면 배율	Window scale
전체화면에서는 적용되지 않습니다.	Not applied in fullscreen mode.
소리 크기	Master volume
음소거	Muted
끌거나 좌우 방향키로 조절합니다.	Drag or use the left/right arrow keys.
배경 음악	Background music
전체화면	Fullscreen
전체화면 켜기	Enable fullscreen
전체화면 끄기	Disable fullscreen
런 초기화	Reset run
다시 시작	Restart
정말 다시 시작?	Really restart?
한 번 더 클릭하면 확정됩니다.	Click once more to confirm.
연출 강도	Effects intensity
모든 장식 효과를 사용합니다. 슬롯 잠금·격리 대상 면 같은 필수 정보는 어떤 모드에서도 숨기지 않습니다.	Use all visual effects. Essential information such as locked slots and quarantined faces is always visible.
흔들림과 파편을 절반으로 줄이고 전역 글리치를 최소화합니다. 필수 정보는 그대로 보입니다.	Halve shake and debris and minimize global glitches. Essential information remains visible.
움직이는 장식을 끕니다. 슬롯 잠금·오프라인 주사위·격리 대상 면·해결 순서·압력 게이지·체력 잔상과 피해 숫자는 그대로 보입니다.	Disable animated decoration. Locked slots, offline dice, quarantined faces, order, pressure, HP trails, and damage numbers remain visible.
취소 키로 닫을 수 있습니다.	Press Esc to close.
가이드 [F1]	Guide [F1]
설정 [F2]	Settings [F2]
덱 [F3]	Deck [F3]
보유 중인 디스크 면	Owned disk faces
닫힌 것	Closed
[ 새 게임 ]	[ New Game ]
18개의 주사위 면이 당신의 덱이자 디스크입니다.\n강한 면은 더 많은 바이트를 차지합니다.\n층이 내려갈수록 줄어드는 용량 안에서 시스템을 복구하십시오.	Your 18 die faces are both your deck and disk.\nStronger faces consume more bytes.\nRestore the system within a capacity that shrinks each floor.
1·2·3 주사위 선택 / 슬롯 클릭 배치 / Space 실행 / 보상 Esc: 선택 취소 · 선택 없음에서 두 번 눌러 포기	1/2/3 select a die / click a slot / Space executes / reward Esc cancels selection; press twice with none selected to skip
◀ 이전 페이지	◀ Previous
다음 페이지 ▶	Next ▶
조작	Controls
1. 주사위를 클릭하거나 1·2·3으로 선택\n2. 서로 다른 슬롯을 클릭해 배치\n3. 적을 클릭해 공격 대상 선택\n4. 스페이스 키로 턴 실행	1. Click a die or press 1/2/3 to select it\n2. Click different slots to place dice\n3. Click an enemy to choose the target\n4. Press Space to execute the turn
화상: 적 행동 직전에 3 피해\n읽기 오류: 실행 순간 해당 주사위를 다시 굴림\n조각화: 중복 결과, 이번 턴 출력 0\n오프라인·격리: 보스 기믹, 해당 턴 출력 0\n오염(관통): 방어도가 절반만 흡수\n난이도: 초급자 25 중급자 50 전문가 75 악몽 100 광기 200\n숫자는 받는 오염 피해 %, 카드마다 다른 등급	Burn: 3 damage just before the enemy acts\nRead error: reroll the affected die on execution\nFragmented: duplicate result, output 0 this turn\nOffline/quarantined: boss effect, output 0 that turn\nCorruption: armor absorbs only half\nDifficulty: Beginner 25, Intermediate 50, Expert 75, Nightmare 100, Madness 200\nThe number is corruption damage %, and each card has its own rank
일반 몹 (모든 층, 층마다 강해짐)	Normal enemies (all floors; stronger each floor)
층별 보스와 기믹	Bosses and mechanics by floor
보스 기믹: %s	Boss mechanic: %s
%s\n대응: %s	%s\nCounter: %s
미판독	UNSCANNED
판독 %d / %d  ·  처치한 개체만 열립니다	Scanned %d / %d  ·  Only defeated entities are revealed
UNREAD PROCESS · 처치하거나 LOGS로 열립니다	UNREAD PROCESS · Defeat or use LOGS
탐색할 볼륨을 선택하십시오 · 디스크 손상과 볼륨 특성이 미리 공개됩니다	Choose a volume to scan · Disk damage and volume perks are shown in advance
VOLUME %s%s  ·  난이도 %s  ·  %s	VOLUME %s%s  ·  DIFFICULTY %s  ·  %s
대상 볼륨  %s%s	TARGET VOLUME  %s%s
볼륨 난이도	Volume difficulty
난이도 · %s	Difficulty · %s
카드마다 서로 다른 난이도가 배정됩니다 · 난이도는 오염(관통) 피해 배율이며, 방어도는 관통을 절반만 막습니다	Each card has a different difficulty. Difficulty scales corruption damage; armor blocks only half of piercing damage.
디스크 손상	Disk damage
볼륨 특성	Volume perk
클릭하여 마운트	Click to mount
감염된 저장소 감지  →  [현재: 탐색 볼륨 선택]  →  마운트  →  전투	Infected storage detected  →  [NOW: Select volume]  →  Mount  →  Combat
볼륨 마운트	Mount volume
부팅 중  ·  A:\\ROGUE.EXE	Booting  ·  A:\\ROGUE.EXE
감염 코어에 접근하기 위해 더 깊은 섹터로 진입합니다.	Entering deeper sectors to reach the infection core.
%d층  %s — %s	FLOOR %d  %s — %s
%d층 / 3	FLOOR %d / 3
섹터 검증 완료 · 커널 적재	Sector verified · Loading kernel
잠시 후 전투가 시작됩니다 · 클릭이나 키로 바로 넘기기	Combat will begin shortly · Click or press a key to skip
진입 후 용량 정리가 필요합니다 · 클릭이나 키로 바로 넘기기	Capacity cleanup required after entry · Click or press a key to skip
클릭이나 키로 바로 넘기기	Click or press a key to skip
심층 탐색	Deep scan
현재 경로  %s	CURRENT PATH  %s
다음 프로세스의 조건을 고르십시오  ·  이번 층 %d / %d 번째 선택	Choose the next process conditions  ·  Choice %d of %d this floor
클릭하여 진입	Click to enter
디렉터리 진입	Enter directory
전투 대기  →  [현재: 하위 디렉터리 선택]  →  일반전  →  보상	Combat ready  →  [NOW: Choose subdirectory]  →  Battle  →  Reward
