한국어	English
나	Me
ROGUE / 안전한 실습 환경	ROGUE / SAFE TRAINING ENVIRONMENT
연습: 볼륨 법칙 없음	TRAINING / NO VOLUME LAW
볼륨 법칙 없음	NO VOLUME LAW
ROGUE 실습 다시 보기	Replay ROGUE training
현재 진행을 보존하는 독립된 훈련입니다.	An isolated exercise that preserves your current progress.
여섯 개의 드라이브를 복구하면 돌아갈 수 있다.\n로그는 그렇게 말했다.\n18개의 주사위 면으로, 그 약속의 끝까지.	Restore six drives and you can return.\nThat is what Rogue promised.\nEighteen die faces. Follow that promise to its end.
접속 / 첫 만남	CONNECTION / FIRST MEETING
마지막 명령	FINAL COMMAND
접근 권한 / 전체	ACCESS / UNRESTRICTED
ROGUE / 응답 충돌	ROGUE / CONFLICTING RESPONSES
ROGUE / 복구 동행	ROGUE / RECOVERY PARTNER
연결 종료\n\n현재 기억 / 유지	CONNECTION CLOSED\n\nPRESENT MEMORY / RETAINED
로그.\n좋아하는 숫자는 3.\n\n_	Rogue.\nFavorite number: 3.\n\n_
함께한 시간은\n없었던 일이 되지 않는다.	The time we shared\nstill happened.
현재 실행체 / 복사	COPY / CURRENT INSTANCE
깨끗한 데이터 / 추출	EXTRACT / CLEAN DATA
기억과 잠식 / 함께 이동	MEMORY + CORRUPTION TRANSFERRED
동행의 기억 / 누락	SHARED MEMORIES / MISSING
분리만으로는\n지금의 로그를 구할 수 없다.	Separation alone cannot\nsave the Rogue who is here now.
현재 사용자	CURRENT USER
인격 원본 / 일치\n정책 작성자 / 현재 사용자	PERSONALITY SOURCE / MATCHED\nPOLICY AUTHOR / CURRENT USER
당신이 접속하기 전의 기록\n실패한 백업이 남긴 목소리	Records from before your arrival.\nVoices left by failed backups.
A:\\ROGUE\\SELF\n남겨진 안내 음성 / 기록 재생	A:\\ROGUE\\SELF\nSAVED GUIDE VOICE / PLAYBACK
환영합니다. 마스터.	Welcome, Master.
안내자 식별 / ROGUE	GUIDE IDENTIFIED / ROGUE
……이번에는.	...This time.
사용자 서명 = 인격 원본	USER SIGNATURE = PERSONALITY SOURCE
실패한 자동 시험 / 기록 연결	FAILED AUTOMATED TESTS / LINKED
기억 연결 완료\n상충하는 명령 / 한 실행체	MEMORY LINK COMPLETE\nCONFLICTING ORDERS / ONE INSTANCE
분리 시험 / 실패\n현재의 기억도 함께 이동한다	SEPARATION TEST / FAILED\nPresent memories move with it.
기준 상태 / 복원\n자동 재시작 / 유지	REFERENCE STATE / RESTORED\nAUTO RESTART / ENABLED
연결 / 유지\n불안정 / 미해결	CONNECTION / MAINTAINED\nINSTABILITY / UNRESOLVED
동일한 서명\n서로 다른 선택	THE SAME SIGNATURE\nDIFFERENT CHOICES
기억은 연결되고\n오류는 이곳에 남는다.	Memories connect.\nThe errors stay here.
  ·  기록 재생	  /  RECORD PLAYBACK
다음 장면 [ENTER]	Next scene [ENTER]
계속 [ENTER]	Continue [ENTER]
ROGUE / 첫 번째 질문	ROGUE / THE FIRST QUESTION
로그: 어떻게 불러드리면 될까요?	Rogue: What should I call you?
이 이름으로 당신을 기억합니다. · 최대 16자	I will remember this name. / Up to 16 characters
이름 전하기 [ENTER]	Confirm name [ENTER]
자기 이름을 말하듯, 당신이 원하는 이름을 입력하세요.	Enter the name you want to be called.
훈련 완료	Finish training
확인 [ENTER]	Confirm [ENTER]
훈련 건너뛰기	Skip training
ROGUE / 응답 없음  ·  남겨진 기록만 연결됨	ROGUE / NO RESPONSE / SAVED RECORDS ONLY
ROGUE / 연결됨  ·  잠식 신호 감지	ROGUE / CONNECTED / CORRUPTION DETECTED
ROGUE / 연결됨	ROGUE / CONNECTED
회수된 기록 / 읽기 전용	RECOVERED RECORD / READ ONLY
남겨진 기록을 읽는 중\n현재의 음성 연결이 아닙니다.	Reading a saved record.\nThis is not a live voice connection.
자동 복구가 멈췄습니다. 이제 돌아갈 조건을 직접 선택합니다.	Automatic recovery has stopped. Choose the conditions of your return.
접속 전의 기준 상태\n기억이 없던 안전한 나	Your reference state before connection.\nThe safety of not remembering.
현재의 나와 로그\n시스템 안에서 함께하는 시간	Your present self and Rogue.\nMore time together inside the system.
현재의 기억과 선택\n현실로 돌아가는 나	Your present memories and choices.\nYour return to the real world.
지금의 관계와 변화\n자동 재시작 규칙은 남는다	The relationship and changes you made.\nThe restart policy remains in place.
현실로의 귀환\n불안정한 연결은 해결되지 않는다	Your return to the real world.\nThe connection remains unstable.
함께 돌아갈 수 없는 로그\n자동 재시작은 영구히 중단된다	Rogue cannot return with you.\nAutomatic restart is permanently disabled.
